,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
4809,matkalle,8,2257,9.03125500659602,9.42350689721106,11.2103140864677,11.5002833140324
4810,tarkemmat,9,2257,10.8855361580833,11.1866449813622,4.7792244556508,4.84821619916798
4811,määritellä,10,2256,10.8239022587431,10.8934885398032,10.8157171422624,11.5518396787908
4812,moniin,6,2256,10.8495458184693,11.0817040175061,6.65323141492639,7.12557556150872
4813,rikki,5,2256,9.66474629243493,10.0125335277899,12.6705506839313,12.7712474067317
4814,pelattu,7,2255,10.9504045284422,11.1836409828587,10.3110588800028,10.7764225401089
4815,valmistus,9,2255,7.03426205073122,9.28022143834136,12.154695172525,12.2114749110666
4816,toimintamme,11,2255,11.8618719334562,12.034020305734,9.30733722026209,9.36450011431986
4817,turkuun,7,2254,10.1814902399246,11.1600078387854,12.3917504536441,12.6031496570471
4818,huomion,7,2253,9.54981421432816,9.76453923786661,9.70553906305853,9.94206532737853
4819,tulevasta,9,2253,9.87284636238318,10.2482390189466,7.77012319367999,9.24557762465801
4820,yläpuolella,11,2253,7.21839401036483,8.09561469544406,12.3189138470045,12.3451564925644
4821,loppui,6,2250,8.59649579140245,9.7826858796455,11.3307320975649,11.6640940045338
4822,karjalainen,11,2250,9.9994273670793,11.4836013842477,11.5675172007061,11.4394417429018
4823,oltu,4,2250,11.0882642893932,11.2084507113011,9.93575874370588,10.1960950238526
4824,hyväksyttiin,12,2249,8.71879314071942,9.90652114380198,10.2184336105619,10.8800151396193
4825,nauttii,7,2249,10.4526889312675,11.5963180957832,9.48035016793206,10.0787476857481
4826,kehittämisessä,14,2249,7.59289477342248,8.97645217272144,12.9187953564998,12.8956824701471
4827,ehdokasta,9,2249,9.12745947340453,9.2189903818107,12.8609317663089,12.9025856051277
4828,korkeampi,9,2249,10.3882850124243,10.6521027242817,10.8065462475505,11.0646632932274
4829,kurssit,7,2249,9.95880801079624,10.5244147417849,11.1435900992518,11.2437186353016
4830,luonut,6,2248,11.4767505476174,11.6145058468283,10.0256213480465,10.8023378595071
4831,toimittajan,11,2248,10.6994899345733,11.1291189103717,9.58661392772012,9.98995698408927
4832,otin,4,2248,12.3991875530073,12.54074444397,9.08932401202479,9.91172998924676
4833,miehille,8,2248,10.7670965646545,11.3617900197772,12.6550450941679,12.8147632645421
4834,demokratian,11,2247,11.0002245236277,11.0440351577145,8.94628046603509,9.19908687366142
4835,vpk,3,2247,7.76148802461095,10.8964784989839,10.0139009918066,9.31718385107209
4836,tuotetaan,9,2247,8.86174491772001,10.0868278100922,10.2845114623597,11.1537513337368
4837,valtioneuvoston,15,2245,11.7340869680442,11.8149302562348,6.02315199660374,6.53819056465198
4838,keskiviikko,11,2244,10.3691170033278,10.6674667085741,5.71159119084875,4.74226643349105
4839,yhdistelmä,10,2244,9.17617029750293,9.96850384583548,11.6899401590145,12.2591858514779
4840,laadusta,8,2241,9.01225971455526,9.34034924363754,12.5080984925166,12.3993085762181
4841,olennaista,10,2241,11.8145438279542,12.0345395316129,12.0280736336504,12.102063227009
